20070605_030730 221.8799_0A 222.3590_0B 20070605_093730 517.66 8.966 7.17 60.50 249.50 -10.26 3.800 8.818 17.054 13.229 25.587 -3.98 71.65 270.00 -0.00 1.680 8.721 27.695 9.548 30.324 
20070605_030730 221.8799_0A 222.3590_0B 20070605_100730 518.94 10.291 7.17 61.77 248.50 -10.38 4.070 9.534 19.077 14.713 29.440 -3.98 72.92 270.00 -0.00 1.690 9.183 31.266 9.881 33.642 
20070605_030730 221.8799_0A 222.3590_0B 20070605_103730 513.04 7.631 7.17 55.87 249.00 -11.89 4.030 9.793 16.670 14.709 25.037 -3.98 67.02 245.00 -10.15 2.140 10.368 24.465 14.995 35.382 
20070610_113730 227.8799_0A 227.9215_0B 20070610_113730 250.68 -0.191 7.68 27.00 118.50 -23.53 -0.180 -3.658 4.008 5.435 -5.955 -4.39 14.93 112.50 -20.38 -0.190 -5.169 5.324 7.665 -7.894 
20070610_113730 227.8799_0A 227.9215_0B 20070610_120730 236.68 -0.276 7.68 41.00 117.50 -20.09 -0.220 -3.870 4.886 5.792 -7.314 -4.39 28.93 114.00 -19.95 -0.260 -5.017 5.621 6.913 -7.744 
20070610_113730 227.8799_0A 227.9215_0B 20070610_123730 303.68 -0.284 7.68 26.00 113.00 -19.62 -0.270 -4.122 4.518 6.326 -6.935 -4.39 38.07 113.50 -17.95 -0.240 -5.134 6.320 6.930 -8.532 
20070610_113730 227.8799_0A 227.9215_0B 20070610_130730 335.68 -0.678 7.68 58.00 115.50 -13.77 -0.320 -4.353 7.648 7.024 -12.341 -4.39 70.07 112.50 -7.96 -0.130 -5.079 13.900 6.137 -16.795 
20070610_113730 227.8799_0A 227.9215_0B 20070610_133730 328.68 -0.578 7.68 51.00 114.00 -15.10 -0.360 -4.587 6.916 7.164 -10.800 -4.39 63.07 110.50 -9.48 -0.210 -5.731 12.021 7.403 -15.526 
20070610_113730 227.8799_0A 227.9215_0B 20070610_140730 325.68 -0.556 7.68 48.00 111.00 -13.97 -0.380 -4.799 6.914 7.434 -10.709 -4.39 60.07 110.50 -10.39 -0.240 -6.082 11.613 7.970 -15.218 
20070610_113730 227.8799_0A 227.9215_0B 20070610_143730 330.15 -0.723 7.68 52.47 111.50 -13.13 -0.430 -5.019 7.884 8.069 -12.675 -4.39 64.54 104.00 -6.08 -0.240 -6.456 14.655 8.514 -19.329 
20070610_113730 227.8799_0A 227.9215_0B 20070610_150730 328.85 -0.804 7.68 51.17 113.50 -14.74 -0.500 -5.137 7.788 8.624 -13.074 -4.39 63.24 104.00 -6.37 -0.290 -6.586 14.280 8.423 -18.263 
20070610_113730 227.8799_0A 227.9215_0B 20070610_153730 322.68 -0.716 7.68 45.00 111.00 -14.68 -0.530 -5.268 7.207 8.750 -11.970 -4.39 57.07 105.00 -8.20 -0.360 -5.965 10.711 11.889 -21.347 
